,publisher_link,publisher,journal_link,journal,count,date,ISSN
0,https://journal.eae.com.ua,"""European Association of Economists""",/s/efn/journl.html,European scientific journal of Economic and Financial innovation,2 (2),2018-2018,2617-863X
1,https://www.ajol.info/index.php/ajer/index,African Journal of Economic Review,/s/ags/afjecr.html,African Journal of Economic Review,118 (118),2013-2019,
2,http://afjrd.org/jos/index.php/afjrd/index,AFrican Journal of Rural Development (AFJRD),/s/ags/afjrde.html,African Journal of Rural Development (AFJRD),81 (81),2016-2018,
3,http://are-journal.com/are,Agricultural and Resource Economics: International Scientific E-Journal,/s/ags/areint.html,Agricultural and Resource Economics: International Scientific E-Journal,171 (171),2015-2019,
4,,Ali Ã‡aÄŸlar Ã‡akmak,/s/tjm/journl.html,Turkish Journal of Marketing,22 (22),2017-2018,2458-9748
5,http://edirc.repec.org/data/aeaaaea.html,American Economic Association,/s/aea/apandp.html,AEA Papers and Proceedings,263 (263),2018-2019,
6,http://edirc.repec.org/data/aeaaaea.html,American Economic Association,/s/aea/aerins.html,American Economic Review: Insights,8 (8),2019-2019,
7,https://www.apha.org,American Public Health Association,/s/aph/ajpbhl.html,American Journal of Public Health,17619 (7725),1971-2018,
8,http://ojs.amhinternational.com/index.php/imbr,AMH International,/s/rnd/arimbr.html,Information Management and Business Review,420 (420),2010-2019,2220-3796
9,http://ojs.amhinternational.com/index.php/jebs,AMH International,/s/rnd/arjebs.html,Journal of Economics and Behavioral Studies,824 (824),2010-2019,2220-6140
10,http://ojs.amhinternational.com/index.php/jevr,AMH International,/s/rnd/arjevr.html,Journal of Education and Vocational Research,267 (267),2011-2019,2221-2590
11,http://ojs.amhinternational.com/index.php/jsds,AMH International,/s/rnd/arjsds.html,Journal of Social and Development Sciences,327 (327),2011-2019,2221-1152
12,http://anpad.org.br,ANPAD - Associação Nacional de Pós-Graduação e Pesquisa em Administração,/s/abg/anprac.html,RAC - Revista de Administração Contemporânea (Journal of Contemporary Administration),1336 (1336),1997-2019,
13,https://rujec.org/,ARPHA Platform,/s/arh/jrujec.html,Russian Journal of Economics,30 (30),2018-2019,2405-4739
14,http://journals.aserspublishing.eu/finart,ASERS Publishing,/s/srs/finart.html,Financial Aspects of Recent Trends in the Global Economy,31 (2),2013-2013,
15,http://journals.aserspublishing.eu/jarle,ASERS Publishing,/s/srs/jarle0.html,Journal of Advanced Research in Law and Economics,737 (0),2010-2018,
16,http://journals.aserspublishing.eu/jarm,ASERS Publishing,/s/srs/jarm00.html,Journal of Advanced Research in Management,25 (0),2016-2018,
17,http://journals.aserspublishing.eu/jemt,ASERS Publishing,/s/srs/jemt00.html,Journal of Advanced Research in Management,482 (0),2010-2018,
18,http://journals.aserspublishing.eu/jasf,ASERS Publishing,/s/srs/jasf00.html,Journal of Advanced Studies in Finance,91 (0),2010-2018,
19,http://journals.aserspublishing.eu/jmef,ASERS Publishing,/s/srs/jmef00.html,Journal of Mathematical Economics and Finance,20 (0),2015-2018,
20,http://journals.aserspublishing.eu/jres,ASERS Publishing,/s/srs/jres00.html,Journal of Research in Educational Sciences,17 (0),2015-2018,
21,http://journals.aserspublishing.eu/tpref,ASERS Publishing,/s/srs/jtpref.html,Theoretical and Practical Research in the Economic Fields,128 (0),2010-2018,
22,https://abc.us.org/,Asian Business Consortium,/s/ris/ajotap.html,American Journal of Trade and Policy,4 (4),2014-2019,
23,https://abc.us.org/,Asian Business Consortium,/s/ris/asbure.html,Asian Business Review,170 (170),2012-2019,
24,http://www.aessweb.com/,Asian Economic and Social Society,/s/asi/arjoes.html,Asian Journal of Contemporary Education,26 (26),2017-2019,
25,http://www.aessweb.com/,Asian Economic and Social Society,/s/asi/aojpal.html,Asian Journal of Public Administration and Law,2 (2),2018-2018,
26,http://www.aessweb.com/,Asian Economic and Social Society,/s/asi/eneclt.html,Energy Economics Letters,18 (18),2015-2019,
27,http://www.aessweb.com/,Asian Economic and Social Society,/s/asi/ijopss.html,International Journal of Publication and Social Studies,15 (15),2017-2019,
28,http://www.aessweb.com/,Asian Economic and Social Society,/s/asi/ijosaa.html,International Journal of Social and Administrative Sciences,31 (31),2016-2019,
29,http://edirc.repec.org/data/aesstea.html,Asian Economic and Social Society (AESS),/s/ags/ajosrd.html,Asian Journal of Agriculture and Rural Development,255 (255),2011-2015,
30,http://www.asianonlinejournals.com/index.php/AD,Asian Online Journal Publishing Group,/s/ags/agrdev.html,Agricultural Development,7 (7),2015-2018,
31,http://edirc.repec.org/data/dfasitw.html,"Asia University, Taiwan",/s/aag/wpaper.html,Advances in Decision Sciences,2 (2),2018-2018,2090-3367
32,http://edirc.repec.org/data/aecaaea.html,Asociación Española de Contabilidad y Administración de Empresas - AECA,/s/aaz/sbir01.html,Small Business International Review,25 (25),2017-2019,2531-0046
33,http://www.asis.org,Association for Information Science & Technology,/s/bla/jamest.html,Journal of the American Society for Information Science,3006 (3006),1970-2000,
34,http://www.asis.org,Association for Information Science & Technology,/s/bla/jamist.html,Journal of the American Society for Information Science and Technology,2574 (2574),2001-2013,
35,http://edirc.repec.org/data/fasnsro.html,Association Holistic Research Academic (HoRA),/s/urn/urnste.html,HOLISTICA Journal of Business and Public Administration,138 (138),2010-2016,2067-9785
36,https://www.athensjournals.gr,Athens Institute for Education and Research (ATINER),/s/ate/journl.html,Athens Journal of Business & Economics,95 (95),2015-2019,
37,http://www.bde.es/,Banco de EspañaRevista de Estabilidad Financiera Homepage,/s/bde/revist.html,Revista de Estabilidad Financiera,21 (21),2018-2019,
